"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1898212",64.27,22.59,0.00,"Panorámica","H",0
"1898217",20.67,35.48,0.00,"Panorámica","H",0
"1898219",48.97,0.00,0.00,"Detalle","H",0
"1898220",19.63,27.89,0.00,"Panorámica","H",0
"1898221",32.28,23.69,0.00,"Panorámica","H",0
"1898236",52.15,8.15,0.00,"Panorámica","H",0
"1898237",60.82,15.61,2.34,"Panorámica","H",0
"1898238",77.04,14.42,2.08,"Panorámica","H",0
"1898242",81.53,16.87,0.00,"Detalle","H",0
"1898253",40.75,35.83,4.32,"Panorámica","H",0
"1898257",49.76,16.76,0.00,"Panorámica","H",0
"1898269",20.26,21.13,0.00,"Panorámica","H",0
"1898279",49.52,26.57,0.00,"Panorámica","H",0
"1898280",56.26,15.56,0.00,"Panorámica","H",0
"1898304",53.43,26.80,0.00,"Detalle","H",0
"1898305",9.25,55.70,0.00,"Panorámica","H",0
"1898309",43.51,37.11,4.06,"Panorámica","H",0
"1898311",14.39,40.96,6.59,"Panorámica","H",0
"1898312",23.34,38.32,3.43,"Panorámica","H",0
"1898313",51.10,15.58,0.00,"Panorámica","H",0
"1898314",39.45,16.68,1.05,"Panorámica","H",0
"1898315",64.73,16.02,0.00,"Panorámica","H",0
"1898316",47.28,23.33,0.00,"Panorámica","H",0
"1898317",55.24,10.40,0.00,"Panorámica","H",0
"1898334",43.75,13.87,2.06,"Panorámica","H",0
"1898348",45.07,32.53,1.25,"Panorámica","H",0
"1898386",22.51,26.33,0.00,"Panorámica","H",0
"1898394",38.59,18.73,0.00,"Panorámica","H",0
"1898395",28.84,30.16,0.00,"Panorámica","H",0
"1898396",47.87,25.49,0.00,"Panorámica","H",0
"1898422",24.94,34.00,0.00,"Panorámica","H",0
"1898423",37.41,25.26,0.00,"Panorámica","H",0
"1898440",44.80,16.91,0.00,"Panorámica","H",0
"1898442",15.96,17.30,0.00,"Panorámica","H",0
"1898444",22.80,15.66,0.00,"Panorámica","H",0
"1898445",10.60,19.76,0.00,"Panorámica","H",0
"1898447",8.57,15.87,0.00,"Panorámica","H",0
"1898464",40.60,24.60,0.00,"Panorámica","H",0
"1898518",60.90,33.80,3.73,"Panorámica","H",0
"1898521",40.99,16.34,2.15,"Panorámica","H",0
"1898522",37.25,27.98,0.00,"Panorámica","H",0
"1898526",9.89,32.23,0.00,"Panorámica","H",0
"1898539",26.28,26.24,1.77,"Panorámica","H",0
"1898564",73.05,15.99,0.00,"Detalle","H",0
"1898574",27.42,27.72,0.00,"Panorámica","H",0
"1898577",18.92,26.60,2.45,"Panorámica","H",0
"1898587",42.45,28.49,0.00,"Panorámica","H",0
"1898588",21.34,16.59,0.00,"Panorámica","H",0
"1898636",44.79,28.81,0.00,"Panorámica","H",0
"1898678",29.43,9.37,0.00,"Panorámica","H",0
"1898695",70.62,25.36,2.63,"Panorámica","H",0
"1898702",52.76,17.87,0.00,"Panorámica","H",0
"1898704",67.66,17.68,12.74,"Panorámica","H",0
"1898706",51.58,27.12,4.18,"Panorámica","H",0
"1898708",67.88,23.20,7.10,"Panorámica","H",0
"1898709",73.54,23.01,1.98,"Panorámica","H",0
"1898710",47.68,22.43,1.59,"Panorámica","H",0
"1898711",35.54,37.67,2.83,"Panorámica","H",0
"1898714",44.88,19.43,16.18,"Panorámica","H",0
"1898726",55.36,17.86,0.00,"Panorámica","H",0
"1898727",37.23,34.48,0.00,"Panorámica","H",0
"1898737",60.04,24.14,6.02,"Panorámica","H",0
"1898744",62.62,19.82,6.56,"Panorámica","H",0
"1898745",59.10,24.60,7.27,"Panorámica","H",0
"1898753",40.93,25.38,1.14,"Panorámica","H",0
"1898754",20.65,35.90,0.00,"Panorámica","H",0
"1898755",54.53,22.80,0.00,"Panorámica","H",0
"1898756",72.22,20.90,1.89,"Panorámica","H",0
"1898758",18.38,38.70,0.00,"Panorámica","H",0
"1898759",21.89,57.82,3.74,"Panorámica","H",0
"1898760",25.09,49.22,2.68,"Panorámica","H",0
"1898762",44.88,16.25,0.00,"Panorámica","H",0
"1898778",36.06,36.30,0.00,"Panorámica","H",0
"1898779",79.17,17.99,0.00,"Detalle","H",0
"1898780",40.82,29.35,0.00,"Panorámica","H",0
"1898783",57.49,16.68,0.00,"Panorámica","H",0
"1898784",68.87,13.72,0.00,"Detalle","H",0
"1898785",9.95,32.12,0.00,"Panorámica","H",0
"1898790",41.43,33.92,0.00,"Panorámica","H",0
"1898793",60.36,33.05,1.13,"Panorámica","H",0
"1898835",38.04,24.08,0.00,"Panorámica","H",0
"1898836",12.59,37.00,1.88,"Panorámica","H",0
"1898842",32.14,20.10,1.86,"Panorámica","H",0
