"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1878112",11.71,29.20,0.00,"Panorámica","L",0
"1878634",26.14,21.45,1.45,"Panorámica","L",0
"1878635",35.26,16.41,2.08,"Panorámica","L",0
"1878637",40.18,17.84,0.00,"Panorámica","L",0
"1878677",33.98,20.57,1.54,"Panorámica","L",0
"1878678",25.48,25.60,0.00,"Panorámica","L",0
"1878679",15.90,15.55,0.00,"Panorámica","L",0
"1878843",12.75,37.79,0.00,"Panorámica","L",0
"1878844",5.51,44.54,1.10,"Panorámica","L",0
"1878845",8.37,39.15,0.00,"Panorámica","L",0
"1878857",19.36,20.51,0.00,"Panorámica","L",0
"1878863",21.67,26.68,0.00,"Panorámica","L",0
"1878865",6.72,40.64,0.00,"Panorámica","L",0
"1878915",9.66,48.84,0.00,"Panorámica","L",0
"1878916",14.51,23.78,0.00,"Panorámica","L",0
"1878919",56.16,8.37,0.00,"Panorámica","L",0
"1878924",22.33,27.99,0.00,"Panorámica","L",0
"1878931",34.00,13.90,0.00,"Panorámica","L",0
"1879164",8.02,13.58,0.00,"Panorámica","L",0
"1879204",19.56,17.22,0.00,"Panorámica","L",0
"1879212",14.65,21.52,0.00,"Panorámica","L",0
"1879213",10.04,29.61,1.09,"Panorámica","L",0
"1879268",52.68,6.55,0.00,"Panorámica","L",0
"1879629",19.31,19.81,0.00,"Panorámica","L",0
"1879650",15.18,21.35,1.65,"Panorámica","L",0
"1879857",49.19,10.54,0.00,"Panorámica","L",0
"1879925",16.72,7.88,1.19,"Panorámica","L",0
"1879928",12.45,29.97,1.46,"Panorámica","L",0
"1880187",11.18,21.14,0.00,"Panorámica","L",0
"1880189",11.75,23.82,0.00,"Panorámica","L",0
"1880190",6.09,44.33,0.00,"Panorámica","L",0
"1880193",11.79,31.15,0.00,"Panorámica","L",0
"1881449",2.96,18.57,1.35,"Panorámica","L",0
"1881455",1.35,12.15,0.00,"Panorámica","L",0
"1882786",54.10,8.47,4.36,"Panorámica","L",0
"1882802",32.09,20.20,0.00,"Panorámica","L",1
"1882803",0.00,32.95,0.00,"Panorámica","L",0
"1882803",0.00,32.95,0.00,"Panorámica","L",0
"1882803",0.00,32.95,0.00,"Panorámica","L",0
"1882842",8.80,26.16,1.12,"Panorámica","L",1
"1883196",43.38,5.01,0.00,"Panorámica","L",0
"1883242",0.00,6.27,6.03,"Panorámica","L",0
"1883961",53.23,10.45,0.00,"Panorámica","L",1
"1883987",29.21,0.00,4.52,"Panorámica","L",1
"1883992",47.88,0.00,0.00,"Panorámica","L",1
"1884010",31.08,1.76,28.41,"Panorámica","L",1
"1884011",21.91,4.86,8.86,"Panorámica","L",1
"1884074",46.06,6.58,0.00,"Panorámica","L",0
"1884116",75.73,0.00,0.00,"Panorámica","L",0
"1884177",49.49,3.49,0.00,"Panorámica","L",1
"1885121",28.04,0.00,16.42,"Panorámica","L",0
"1885122",40.96,0.00,12.90,"Panorámica","L",1
"1887519",13.26,17.90,0.00,"Panorámica","L",0
"1887869",33.77,10.23,0.00,"Panorámica","L",0
"1888588",22.10,15.21,1.25,"Panorámica","L",0
"1888589",22.10,15.21,1.25,"Panorámica","L",0
"1888705",38.94,6.51,0.00,"Panorámica","L",0
"1888706",11.42,27.91,1.28,"Panorámica","L",0
"1888709",6.17,25.49,13.17,"Panorámica","L",0
"1888712",24.20,21.42,0.00,"Panorámica","L",0
"1888713",19.78,15.83,0.00,"Panorámica","L",0
"1888716",6.20,17.02,0.00,"Panorámica","L",0
"1888765",6.22,19.21,12.90,"Panorámica","L",0
"1888782",11.70,16.65,0.00,"Panorámica","L",0
"1888805",1.49,12.72,0.00,"Panorámica","L",0
"1888810",14.94,31.69,0.00,"Panorámica","L",0
"1888958",17.78,14.58,14.09,"Panorámica","L",0
"1889676",31.46,20.38,0.00,"Panorámica","L",1
"1889711",26.65,0.00,22.77,"Panorámica","L",0
"1889713",6.18,41.47,0.00,"Panorámica","L",0
"1889719",36.66,4.91,0.00,"Panorámica","L",0
"1889722",46.73,14.65,1.31,"Panorámica","L",1
"1889723",14.92,35.30,0.00,"Panorámica","L",0
"1889724",8.92,30.96,0.00,"Panorámica","L",0
"1889725",11.00,19.78,20.37,"Panorámica","L",0
"1890162",6.87,27.02,0.00,"Panorámica","L",0
"1890164",20.92,37.71,0.00,"Panorámica","L",0
"1890209",13.90,17.62,0.00,"Panorámica","L",0
"1890210",17.81,0.00,2.27,"Panorámica","L",0
"1890383",54.47,3.52,0.00,"Panorámica","L",0
"1890384",44.20,12.57,0.00,"Panorámica","L",0
"1890385",4.37,7.78,14.34,"Panorámica","L",0
"1890389",34.27,24.38,0.00,"Panorámica","L",0
"1890390",43.17,14.49,0.00,"Panorámica","L",0
"1890392",5.67,18.16,7.53,"Panorámica","L",0
"1890413",18.52,9.93,1.98,"Panorámica","L",0
"1890912",7.95,34.79,5.39,"Panorámica","L",0
"1890924",15.84,20.73,0.00,"Panorámica","L",0
"1890926",10.52,21.03,3.10,"Panorámica","L",0
"1890992",47.86,8.73,0.00,"Panorámica","L",0
"1891476",9.00,22.83,1.57,"Panorámica","L",0
"1891583",14.69,31.87,0.00,"Panorámica","L",0
"1891624",3.86,42.30,7.17,"Panorámica","L",0
"1891813",30.24,24.24,4.75,"Panorámica","L",0
"1891821",14.88,25.01,7.53,"Panorámica","L",0
"1891822",16.67,21.30,3.29,"Panorámica","L",0
"1891928",12.48,13.07,5.95,"Panorámica","L",0
"1891931",0.00,16.71,6.56,"Panorámica","L",0
"1892186",18.18,3.59,0.00,"Panorámica","L",0
"1892187",30.49,6.91,0.00,"Panorámica","L",0
"1892191",16.39,6.25,0.00,"Panorámica","L",0
"1892220",35.32,2.65,8.54,"Panorámica","L",0
"1892234",12.66,9.57,5.85,"Panorámica","L",0
"1892286",16.01,20.18,0.00,"Panorámica","L",0
"1892300",49.42,11.83,0.00,"Panorámica","L",0
"1892576",24.78,36.81,0.00,"Panorámica","L",0
"1892583",11.81,34.95,4.02,"Panorámica","L",0
"1892589",16.19,39.12,0.00,"Panorámica","L",0
"1892590",22.88,29.64,0.00,"Panorámica","L",0
"1892593",22.88,29.64,0.00,"Panorámica","L",0
"1892669",29.36,8.71,10.47,"Panorámica","L",0
"1892975",15.06,27.88,0.00,"Panorámica","L",0
"1892995",44.44,13.30,0.00,"Panorámica","L",0
"1892996",50.01,9.08,0.00,"Panorámica","L",0
"1892997",33.70,26.80,0.00,"Panorámica","L",0
"1892998",49.92,7.49,1.28,"Panorámica","L",0
"1893001",10.41,23.13,15.08,"Panorámica","L",0
"1893002",42.16,7.73,0.00,"Panorámica","L",0
"1893003",36.84,10.64,0.00,"Panorámica","L",0
"1893004",41.60,4.85,0.00,"Panorámica","L",0
"1893005",26.42,11.15,0.00,"Panorámica","L",0
"1893006",14.49,20.85,0.00,"Panorámica","L",0
"1893007",36.63,12.83,7.05,"Panorámica","L",0
"1893049",8.06,14.37,9.41,"Panorámica","L",0
"1893050",26.17,16.39,1.70,"Panorámica","L",1
"1893058",17.97,6.05,9.00,"Panorámica","L",0
"1893059",5.22,3.42,10.56,"Panorámica","L",0
"1893060",5.25,18.08,2.79,"Panorámica","L",0
"1893061",16.24,13.94,3.14,"Panorámica","L",0
"1893062",14.58,8.29,0.00,"Panorámica","L",0
"1893064",20.29,14.04,1.14,"Panorámica","L",0
"1893065",16.57,22.40,1.81,"Panorámica","L",0
"1893066",7.08,14.03,3.39,"Panorámica","L",0
"1893067",34.07,8.00,0.00,"Panorámica","L",0
"1893070",32.97,12.46,0.00,"Panorámica","L",0
"1893209",27.99,5.20,10.95,"Panorámica","L",0
"1893211",36.46,12.15,5.11,"Panorámica","L",0
"1893215",20.26,13.96,2.13,"Panorámica","L",0
"1893398",49.33,5.56,0.00,"Panorámica","L",1
"1893478",17.46,12.50,18.59,"Panorámica","L",0
"1893752",49.36,11.86,0.00,"Panorámica","L",1
"1893797",7.27,18.44,6.51,"Panorámica","L",0
"1893798",0.00,16.61,0.00,"Panorámica","L",0
"1893808",10.59,14.52,7.91,"Panorámica","L",0
"1894053",48.06,10.79,0.00,"Panorámica","L",0
"1894117",8.66,17.78,5.48,"Panorámica","L",0
"1894179",17.18,36.87,0.00,"Panorámica","L",0
"1894235",16.68,20.34,3.83,"Panorámica","L",0
"1894238",10.88,16.07,0.00,"Panorámica","L",0
"1894239",10.29,20.83,7.10,"Panorámica","L",0
"1894242",16.04,29.57,0.00,"Panorámica","L",0
"1894250",13.94,21.85,0.00,"Panorámica","L",0
"1894255",12.73,25.33,0.00,"Panorámica","L",0
"1894262",11.87,26.80,0.00,"Panorámica","L",0
"1894271",21.20,25.96,0.00,"Panorámica","L",0
"1894429",30.59,13.32,0.00,"Panorámica","L",0
"1894431",13.97,28.82,2.65,"Panorámica","L",0
"1894887",25.14,12.99,0.00,"Panorámica","L",1
"1895056",5.66,14.49,11.56,"Panorámica","L",0
"1895093",16.54,21.60,0.00,"Panorámica","L",0
"1895176",26.32,41.53,1.17,"Panorámica","L",0
"1895241",27.88,25.51,10.42,"Panorámica","L",1
"1895249",29.32,7.01,0.00,"Panorámica","L",0
"1895251",6.14,14.79,0.00,"Panorámica","L",0
"1895280",32.58,9.88,0.00,"Panorámica","L",0
"1895281",33.39,22.64,0.00,"Panorámica","L",0
"1895282",42.98,17.87,0.00,"Panorámica","L",0
"1895283",13.08,20.79,6.65,"Panorámica","L",0
"1895284",26.66,15.12,0.00,"Panorámica","L",1
"1895286",11.95,15.98,0.00,"Panorámica","L",1
"1895289",48.53,9.31,0.00,"Panorámica","L",1
"1895347",15.06,13.69,0.00,"Panorámica","L",0
"1895357",15.65,28.38,0.00,"Panorámica","L",0
"1895378",22.01,16.72,3.83,"Panorámica","L",0
"1895380",27.34,17.97,1.15,"Panorámica","L",0
"1895381",40.12,14.97,0.00,"Panorámica","L",0
"1895382",37.15,16.73,0.00,"Panorámica","L",0
"1895384",15.33,18.35,2.72,"Panorámica","L",1
"1895393",37.29,22.30,0.00,"Panorámica","L",1
"1895629",8.04,22.60,7.44,"Panorámica","L",1
"1895681",27.79,20.22,0.00,"Panorámica","L",0
"1895686",29.98,15.91,1.54,"Panorámica","L",1
"1896058",31.80,11.81,0.00,"Panorámica","L",1
"1896059",22.86,20.23,0.00,"Panorámica","L",1
"1896059",22.86,20.23,0.00,"Panorámica","L",1
"1896061",28.10,15.70,0.00,"Panorámica","L",0
"1896197",10.32,17.85,1.12,"Panorámica","L",0
"1896459",14.14,12.89,0.00,"Panorámica","L",0
"1896460",19.02,28.31,3.54,"Panorámica","L",1
"1896568",16.82,11.43,0.00,"Panorámica","L",1
"1897310",11.74,15.42,3.28,"Panorámica","L",1
"1897311",55.81,31.23,0.00,"Panorámica","L",1
"1897387",20.05,14.66,2.34,"Panorámica","L",0
"1897403",35.84,19.81,0.00,"Panorámica","L",1
"1897406",12.74,15.24,13.29,"Panorámica","L",0
"1897407",13.98,12.97,0.00,"Panorámica","L",1
"1897413",22.38,23.98,0.00,"Panorámica","L",0
"1897537",0.00,22.41,8.55,"Panorámica","L",0
"1897556",33.81,14.35,0.00,"Panorámica","L",1
"1897631",18.21,10.57,0.00,"Panorámica","L",0
"1897636",27.21,19.44,0.00,"Panorámica","L",0
"1897646",7.44,19.55,0.00,"Panorámica","L",1
"1897652",8.45,0.00,0.00,"Panorámica","L",0
"1897655",19.35,18.75,0.00,"Panorámica","L",0
"1897657",20.14,14.63,0.00,"Panorámica","L",1
"1897679",13.66,25.26,0.00,"Panorámica","L",0
"1897687",17.43,24.58,1.05,"Panorámica","L",0
"1897689",8.38,17.07,0.00,"Panorámica","L",0
"1897690",26.65,9.92,0.00,"Panorámica","L",0
"1897691",39.56,7.77,0.00,"Panorámica","L",0
"1897693",24.27,18.66,0.00,"Panorámica","L",0
"1897699",47.75,15.66,0.00,"Panorámica","L",0
"1897709",21.32,17.96,0.00,"Panorámica","L",0
"1897710",6.56,18.92,1.35,"Panorámica","L",0
