"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1863652",37.80,40.24,0.00,"Panorámica","H",0
"1863694",27.69,23.83,9.17,"Panorámica","H",0
"1863742",28.37,39.73,0.00,"Panorámica","H",0
"1863784",32.42,29.31,6.22,"Panorámica","H",0
"1863786",73.99,19.54,3.77,"Panorámica","H",0
"1863801",42.92,39.41,0.00,"Panorámica","H",0
"1863811",41.25,16.79,0.00,"Panorámica","H",0
"1863813",48.29,35.14,1.46,"Panorámica","H",0
"1863814",60.80,30.37,4.47,"Panorámica","H",0
"1863816",42.91,28.34,1.27,"Panorámica","H",0
"1863819",59.47,28.89,0.00,"Panorámica","H",0
"1863826",57.25,27.54,0.00,"Panorámica","H",0
"1863839",39.16,35.03,1.26,"Panorámica","H",0
"1863841",37.08,34.08,0.00,"Panorámica","H",0
"1863844",11.42,32.96,0.00,"Panorámica","H",0
"1863898",29.87,11.15,2.78,"Panorámica","H",0
"1863923",27.04,13.41,7.87,"Panorámica","H",0
"1864038",52.33,22.31,0.00,"Panorámica","H",0
"1864087",29.46,50.50,1.91,"Panorámica","H",0
"1864088",57.71,33.10,0.00,"Panorámica","H",0
"1864089",14.91,51.67,0.00,"Panorámica","H",0
"1864090",36.39,39.39,5.67,"Panorámica","H",0
"1864091",41.86,28.22,3.53,"Panorámica","H",0
"1864102",69.47,19.74,0.00,"Panorámica","H",0
"1863278",52.92,14.04,0.00,"Detalle","H",0
"1863305",13.09,27.38,3.67,"Panorámica","H",0
"1863329",51.99,19.89,3.43,"Panorámica","H",0
"1863332",48.75,38.39,1.08,"Panorámica","H",0
"1863336",32.53,43.92,0.00,"Panorámica","H",0
"1863344",7.53,42.93,0.00,"Panorámica","H",0
"1863353",63.38,33.83,0.00,"Panorámica","H",0
"1863444",47.50,15.48,0.00,"Panorámica","H",0
"1863446",33.29,17.54,1.25,"Panorámica","H",0
"1863471",50.57,17.72,1.76,"Panorámica","H",0
"1863567",20.86,40.94,0.00,"Panorámica","H",0
"1863635",11.47,17.56,0.00,"Panorámica","H",0
"1864108",29.58,41.96,0.00,"Panorámica","H",0
"1864190",68.44,7.96,11.75,"Detalle","H",0
"1864294",32.67,3.73,0.00,"Panorámica","H",0
"1864297",30.19,20.91,1.67,"Panorámica","H",0
"1864424",5.92,36.19,2.35,"Panorámica","H",0
"1864719",23.97,7.65,3.36,"Panorámica","H",0
"1865057",59.22,6.12,0.00,"Panorámica","H",0
"1865586",66.27,12.38,0.00,"Detalle","H",0
"1865893",48.54,33.49,4.16,"Panorámica","H",0
"1865895",29.54,36.10,4.56,"Panorámica","H",0
"1865896",52.08,37.06,2.31,"Panorámica","H",0
"1865900",40.37,40.85,4.62,"Panorámica","H",0
"1865901",40.37,40.85,4.62,"Panorámica","H",0
"1866064",61.63,25.07,8.41,"Panorámica","H",0
"1866148",39.13,43.78,3.74,"Panorámica","H",0
"1866239",43.01,34.74,0.00,"Panorámica","H",0
"1866405",33.73,29.68,0.00,"Panorámica","H",0
"1866685",50.11,47.39,0.00,"Panorámica","H",0
"1866701",40.67,50.47,0.00,"Panorámica","H",0
"1866839",47.95,22.04,0.00,"Panorámica","H",0
"1868373",79.68,5.65,0.00,"Panorámica","H",0
"1868374",47.47,45.52,2.93,"Panorámica","H",0
"1868470",12.50,25.34,0.00,"Panorámica","H",0
"1868486",15.27,23.66,0.00,"Panorámica","H",0
"1869347",38.70,27.39,0.00,"Panorámica","H",0
"1869348",48.25,32.73,0.00,"Panorámica","H",0
"1869357",42.53,21.73,0.00,"Panorámica","H",0
"1869498",22.30,41.10,0.00,"Panorámica","H",0
"1869499",13.13,46.83,0.00,"Panorámica","H",0
"1869506",15.43,34.47,0.00,"Panorámica","H",0
"1869554",20.86,25.93,0.00,"Panorámica","H",0
"1869841",54.32,23.41,0.00,"Panorámica","H",0
"1869862",39.81,28.24,1.00,"Panorámica","H",0
"1869873",63.56,11.89,15.54,"Panorámica","H",0
"1869876",32.87,27.89,1.88,"Panorámica","H",0
"1869883",41.07,12.60,11.89,"Panorámica","H",0
"1869888",67.93,12.40,14.61,"Panorámica","H",0
"1869889",56.32,25.79,15.55,"Panorámica","H",0
"1869900",36.91,35.86,2.45,"Panorámica","H",0
"1869919",25.76,42.32,0.00,"Panorámica","H",0
"1869920",27.69,25.02,3.82,"Panorámica","H",0
"1869937",39.95,7.75,1.90,"Panorámica","H",0
"1869941",23.18,17.96,0.00,"Panorámica","H",0
"1869943",27.78,21.68,1.26,"Panorámica","H",0
"1869945",50.42,22.12,0.00,"Panorámica","H",0
"1869948",82.18,13.39,0.00,"Panorámica","H",0
"1869951",20.47,27.15,0.00,"Panorámica","H",0
"1869952",34.42,23.74,0.00,"Panorámica","H",0
"1869955",18.28,17.94,5.23,"Panorámica","H",0
"1869962",51.28,17.81,0.00,"Panorámica","H",0
"1869963",19.66,25.20,0.00,"Panorámica","H",0
"1869965",10.86,6.56,0.00,"Panorámica","H",0
"1869983",10.28,29.18,3.38,"Panorámica","H",0
"1869984",28.35,3.07,2.36,"Panorámica","H",0
"1869985",40.04,10.45,1.08,"Panorámica","H",0
"1869996",22.62,5.84,0.00,"Panorámica","H",0
"1869997",15.41,6.23,0.00,"Panorámica","H",0
"1869998",60.13,7.92,0.00,"Detalle","H",0
"1870003",10.49,20.13,0.00,"Panorámica","H",0
"1870006",27.26,25.76,5.27,"Panorámica","H",0
"1870007",39.92,11.98,0.00,"Panorámica","H",0
"1870008",19.91,22.63,0.00,"Panorámica","H",0
"1870013",20.03,15.44,5.13,"Panorámica","H",0
"1870014",21.12,13.16,0.00,"Panorámica","H",0
"1870015",7.36,28.05,0.00,"Panorámica","H",0
"1870017",30.95,21.80,2.12,"Panorámica","H",0
"1870018",42.22,24.84,0.00,"Panorámica","H",0
"1870030",29.37,29.09,2.86,"Panorámica","H",0
"1870032",34.51,14.72,5.70,"Panorámica","H",0
"1870033",47.36,36.40,0.00,"Panorámica","H",0
"1870034",38.40,19.29,2.01,"Panorámica","H",0
"1870035",13.72,23.47,4.51,"Panorámica","H",0
"1870037",15.35,18.07,0.00,"Panorámica","H",0
"1870038",35.88,20.69,0.00,"Panorámica","H",0
"1870039",13.46,33.19,0.00,"Panorámica","H",0
"1870062",10.94,51.68,1.21,"Panorámica","H",0
"1870067",6.32,37.55,5.27,"Panorámica","H",0
"1870144",68.05,29.73,0.00,"Panorámica","H",0
"1870145",56.70,12.83,1.41,"Panorámica","H",0
"1870167",24.75,31.54,0.00,"Panorámica","H",0
"1870171",18.40,9.53,0.00,"Panorámica","H",0
"1870175",16.42,37.14,0.00,"Panorámica","H",0
"1870177",52.48,12.81,0.00,"Panorámica","H",0
"1870179",34.02,39.65,0.00,"Panorámica","H",0
"1870188",19.68,11.50,0.00,"Panorámica","H",0
"1870193",26.58,44.78,6.68,"Panorámica","H",0
"1870194",28.94,35.67,0.00,"Panorámica","H",0
"1870196",28.35,31.06,1.57,"Panorámica","H",0
"1870198",28.57,43.50,0.00,"Panorámica","H",0
"1870203",29.12,18.10,0.00,"Panorámica","H",0
"1870208",21.52,22.48,0.00,"Panorámica","H",0
"1870212",16.87,14.06,0.00,"Panorámica","H",0
"1870213",32.06,36.53,2.68,"Panorámica","H",0
"1870216",30.74,41.16,3.25,"Panorámica","H",0
"1870226",30.54,34.91,4.14,"Panorámica","H",0
"1870299",51.53,5.00,0.00,"Detalle","H",0
"1870301",39.39,13.64,1.15,"Panorámica","H",0
"1870310",29.36,9.72,0.00,"Panorámica","H",0
"1870324",12.20,27.25,0.00,"Panorámica","H",0
"1870327",38.45,29.45,0.00,"Panorámica","H",0
"1870344",17.95,27.58,1.23,"Panorámica","H",0
"1870350",20.17,43.63,0.00,"Panorámica","H",0
"1870362",6.87,29.10,0.00,"Panorámica","H",0
"1870365",13.38,23.00,0.00,"Panorámica","H",0
"1870388",26.67,26.41,0.00,"Panorámica","H",0
"1870389",28.13,11.14,0.00,"Panorámica","H",0
"1870391",15.63,27.80,0.00,"Panorámica","H",0
"1870392",41.52,20.14,0.00,"Panorámica","H",0
"1870395",14.95,22.50,0.00,"Panorámica","H",0
"1870399",16.70,15.83,0.00,"Panorámica","H",0
"1870405",46.03,20.22,0.00,"Panorámica","H",0
"1870415",24.59,5.54,0.00,"Panorámica","H",0
"1870416",18.46,23.03,1.45,"Panorámica","H",0
"1870420",22.45,44.44,0.00,"Panorámica","H",0
"1870422",23.40,29.04,0.00,"Panorámica","H",0
"1870423",36.62,51.94,0.00,"Panorámica","H",0
"1870435",15.53,35.25,0.00,"Panorámica","H",0
"1870437",43.00,20.31,0.00,"Panorámica","H",0
"1870439",22.27,43.70,0.00,"Panorámica","H",0
"1870442",33.74,23.72,0.00,"Panorámica","H",0
"1870444",12.46,35.25,1.20,"Panorámica","H",0
"1870449",40.35,31.86,0.00,"Panorámica","H",0
"1870451",23.59,26.44,1.46,"Panorámica","H",0
"1870452",25.42,42.13,0.00,"Panorámica","H",0
"1870454",32.08,30.63,0.00,"Panorámica","H",0
"1870456",30.72,28.98,0.00,"Panorámica","H",0
"1870464",8.74,24.79,2.52,"Panorámica","H",0
"1870475",42.16,17.05,0.00,"Panorámica","H",0
