ABANDONADO;CULT;MALEZA;DESCAMPADO;VEGETACION;CIELO;SUELO_DESNUDO;PAISAJE
NO ABANDONO;10,41012877;0;56,84449735;0;31,44681312;0;1,298560762
NO ABANDONO;22,39737274;0;42,83524904;0;27,48768473;0;7,279693487
NO ABANDONO;17,01302897;0;59,2548724;1,259825563;22,47227307;0;0
NO ABANDONO;58,07726076;0;17,09833187;9,416154522;15,40825285;0;0
NO ABANDONO;49,88743348;4,676627098;5,045026607;0;39,28571429;0;1,105198526
NO ABANDONO;14,92271106;0;0;0;85,07728894;0;0
NO ABANDONO;65,1990536;0;0;0;34,8009464;0;0
NO ABANDONO;58,16801372;0;22,87533676;0;18,95664952;0;0
NO ABANDONO;36,41347801;3,083952027;48,94346088;0;11,55910908;0;0
NO ABANDONO;21,86582809;0;35,22012579;0;42,91404612;0;0
NO ABANDONO;31,06368936;13,23286767;37,92762072;15,09184908;2,68397316;0;0
NO ABANDONO;11,93796836;0;38,68651124;31,0990841;18,2764363;0;0
NO ABANDONO;5,653412087;0;56,89273283;6,180782618;31,27307246;0;0
NO ABANDONO;42,86347518;1,141400709;36,08156028;0;18,6945922;0;1,218971631
NO ABANDONO;76,04316547;0;0;0;20,08221994;0;3,874614594
NO ABANDONO;46,13565517;1,644630764;9,857035365;0;42,36267871;0;0
NO ABANDONO;42,91064184;0;15,16696141;24,4564652;17,46593155;0;0
NO ABANDONO;62,69333883;0;0;0;31,3157352;0;4,609197773
NO ABANDONO;50,00582683;0;0;0;33,02645379;15,4877054;1,480013984
NO ABANDONO;59,06933553;6,304168386;0;6,211308296;28,41518778;0;0
NO ABANDONO;39,01104682;0;23,93477117;0;35,85481326;0;0
NO ABANDONO;32,4815137;4,784688995;0;8,242714224;12,12483689;38,01652893;3,023053502
NO ABANDONO;14,14613866;0;63,44454838;0;16,51595468;0;5,893358279
ABANDONO;5,302624531;36,18639529;27,89501875;19,56079272;8,152115694;0;2,903053026
NO ABANDONO;53,92621599;0;1,720939819;21,36232481;22,99051937;0;0
ABANDONO;10,37509142;61,37289729;0;15,32755198;0;0;12,9244593
ABANDONO;4,162078837;17,20986567;39,41863026;22,39594803;10,57035895;0;6,243118256
NO ABANDONO;59,26876861;5,011810619;0;1,725377426;33,99404334;0;0
NO ABANDONO;74,14087513;0;0;4,791889007;21,06723586;0;0
NO ABANDONO;14,75937015;1,23087159;48,65823908;1,363938789;31,62563761;0;2,361942781
NO ABANDONO;71,74756264;0;0;7,589894119;8,344690219;0;12,31785302
NO ABANDONO;50,20515518;0;26,9121515;4,650184114;18,23250921;0;0
NO ABANDONO;3,955288048;0;0;0;72,98366294;0;23,06104901
NO ABANDONO;6,630081756;0;0;2,643073132;40,53085452;47,56411692;2,63187367
NO ABANDONO;26,9810896;16,76046826;36,34624043;7,519135525;8,610986042;0;3,782080144
NO ABANDONO;62,21437474;0;23,71208974;7,447029497;3,489821354;0;3,13668467
NO ABANDONO;62,58057698;0;15,07978442;15,87234492;6,46729367;0;0
NO ABANDONO;36,93086003;3,014333895;19,65640809;0;18,91863406;0;21,47976391
NO ABANDONO;62,77542373;8,008474576;22,77542373;0;6,440677966;0;0
NO ABANDONO;10,99256385;8,88026727;44,51988361;7,47925423;28,12803104;0;0
NO ABANDONO;26,34807879;0;45,00053816;3,078247767;22,27962544;0;0
NO ABANDONO;14,13753362;0;0;11,67883212;48,48252017;0;13,52285824
NO ABANDONO;25,06381427;11,59596451;34,42324055;19,01057494;8,617965236;0;1,288440501
NO ABANDONO;40,48107;1,725811671;46,65084673;0;11,1422716;0;0
NO ABANDONO;50,80653776;2,424954599;29,62290354;1,730584339;15,41501976;0;0
NO ABANDONO;84,07723963;0;0;9,960958109;5,961802258;0;0
NO ABANDONO;49,48915763;0;0;0;47,45621351;0;3,054628857
NO ABANDONO;13,73626374;0;37,71428571;0;27,84615385;0;0
NO ABANDONO;16,18785116;0;31,14597689;3,296936288;25,08215838;0;0
ABANDONO;0;19,91360691;0;55;7,624190065;0;15,84233261
NO ABANDONO;43,34835191;0;17,08560588;0;22,00616552;0;0
ABANDONO;0;49,83283804;0;11,66419019;30,36775632;0;0
NO ABANDONO;27,20418848;0;32,14659686;0;40,64921466;0;0
ABANDONO;0;53,15552629;9,461090989;12,07331797;23,44418834;0;0
