"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"NO ABANDONO",10.41,0.00,56.84,0.00,31.44,0.00,1.29
"NO ABANDONO",22.39,0.00,42.83,0.00,27.48,0.00,7.27
"NO ABANDONO",17.01,0.00,59.25,1.25,22.47,0.00,0.00
"NO ABANDONO",58.07,0.00,17.09,9.41,15.40,0.00,0.00
"NO ABANDONO",49.88,4.67,5.04,0.00,39.28,0.00,1.10
"NO ABANDONO",14.92,0.00,0.00,0.00,85.07,0.00,0.00
"NO ABANDONO",65.19,0.00,0.00,0.00,34.80,0.00,0.00
"NO ABANDONO",58.16,0.00,22.87,0.00,18.95,0.00,0.00
"NO ABANDONO",36.41,3.08,48.94,0.00,11.55,0.00,0.00
"NO ABANDONO",21.86,0.00,35.22,0.00,42.91,0.00,0.00
"NO ABANDONO",31.06,13.23,37.92,15.09,2.68,0.00,0.00
"NO ABANDONO",11.93,0.00,38.68,31.09,18.27,0.00,0.00
"NO ABANDONO",5.65,0.00,56.89,6.18,31.27,0.00,0.00
"NO ABANDONO",42.86,1.14,36.08,0.00,18.69,0.00,1.21
"NO ABANDONO",76.04,0.00,0.00,0.00,20.08,0.00,3.87
"NO ABANDONO",46.13,1.64,9.85,0.00,42.36,0.00,0.00
"NO ABANDONO",42.91,0.00,15.16,24.45,17.46,0.00,0.00
"NO ABANDONO",62.69,0.00,0.00,0.00,31.31,0.00,4.60
"NO ABANDONO",50.00,0.00,0.00,0.00,33.02,15.48,1.48
"NO ABANDONO",59.06,6.30,0.00,6.21,28.41,0.00,0.00
"NO ABANDONO",39.01,0.00,23.93,0.00,35.85,0.00,0.00
"NO ABANDONO",32.48,4.78,0.00,8.24,12.12,38.01,3.02
"NO ABANDONO",14.14,0.00,63.44,0.00,16.51,0.00,5.89
"ABANDONO",5.30,36.18,27.89,19.56,8.15,0.00,2.90
"NO ABANDONO",53.92,0.00,1.72,21.36,22.99,0.00,0.00
"ABANDONO",10.37,61.37,0.00,15.32,0.00,0.00,12.92
"ABANDONO",4.16,17.20,39.41,22.39,10.57,0.00,6.24
"NO ABANDONO",59.26,5.01,0.00,1.72,33.99,0.00,0.00
"NO ABANDONO",74.14,0.00,0.00,4.79,21.06,0.00,0.00
"NO ABANDONO",14.75,1.23,48.65,1.36,31.62,0.00,2.36
"NO ABANDONO",71.74,0.00,0.00,7.58,8.34,0.00,12.31
"NO ABANDONO",50.20,0.00,26.91,4.65,18.23,0.00,0.00
"NO ABANDONO",3.95,0.00,0.00,0.00,72.98,0.00,23.06
"NO ABANDONO",6.63,0.00,0.00,2.64,40.53,47.56,2.63
"NO ABANDONO",26.98,16.76,36.34,7.51,8.61,0.00,3.78
"NO ABANDONO",62.21,0.00,23.71,7.44,3.48,0.00,3.13
"NO ABANDONO",62.58,0.00,15.07,15.87,6.46,0.00,0.00
"NO ABANDONO",36.93,3.01,19.65,0.00,18.91,0.00,21.47
"NO ABANDONO",62.77,8.00,22.77,0.00,6.44,0.00,0.00
"NO ABANDONO",10.99,8.88,44.51,7.47,28.12,0.00,0.00
"NO ABANDONO",26.34,0.00,45.00,3.07,22.27,0.00,0.00
"NO ABANDONO",14.13,0.00,0.00,11.67,48.48,0.00,13.52
"NO ABANDONO",25.06,11.59,34.42,19.01,8.61,0.00,1.28
"NO ABANDONO",40.48,1.72,46.65,0.00,11.14,0.00,0.00
"NO ABANDONO",50.80,2.42,29.62,1.73,15.41,0.00,0.00
"NO ABANDONO",84.07,0.00,0.00,9.96,5.96,0.00,0.00
"NO ABANDONO",49.48,0.00,0.00,0.00,47.45,0.00,3.05
"NO ABANDONO",13.73,0.00,37.71,0.00,27.84,0.00,0.00
"NO ABANDONO",16.18,0.00,31.14,3.29,25.08,0.00,0.00
"ABANDONO",0.00,19.91,0.00,55.00,7.62,0.00,15.84
"NO ABANDONO",43.34,0.00,17.08,0.00,22.00,0.00,0.00
"ABANDONO",0.00,49.83,0.00,11.66,30.36,0.00,0.00
"NO ABANDONO",27.20,0.00,32.14,0.00,40.64,0.00,0.00
"ABANDONO",0.00,53.15,9.46,12.07,23.44,0.00,0.00
"ABANDONO",9.35,46.28,8.92,29.06,6.35,0.00,0.00
"ABANDONO",13.00,49.46,0.00,26.05,11.47,0.00,0.00
"NO ABANDONO",35.87,0.00,0.00,12.11,23.71,2.18,26.11
"ABANDONO",2.61,22.42,0.00,31.20,18.53,7.70,17.49
"NO ABANDONO",24.98,0.00,43.05,9.97,21.98,0.00,0.00
"NO ABANDONO",63.06,0.00,0.00,0.00,34.55,0.00,2.37
"NO ABANDONO",68.63,0.00,2.66,0.00,27.38,0.00,1.31
"NO ABANDONO",32.13,0.00,32.17,0.00,35.68,0.00,0.00
"NO ABANDONO",95.22,0.00,0.00,0.00,4.77,0.00,0.00
"NO ABANDONO",19.53,40.22,0.00,0.00,7.15,23.38,9.68
"NO ABANDONO",65.03,0.00,27.18,0.00,1.10,0.00,6.68
"NO ABANDONO",51.53,0.00,12.44,0.00,29.92,0.00,6.08
"NO ABANDONO",71.07,0.00,0.00,0.00,25.65,0.00,3.27
"NO ABANDONO",50.28,0.00,32.95,0.00,16.76,0.00,0.00
"NO ABANDONO",11.39,0.00,49.49,0.00,19.56,0.00,19.54
"NO ABANDONO",18.22,0.00,55.42,19.60,4.97,0.00,0.00
"NO ABANDONO",27.87,0.00,40.91,7.25,14.43,0.00,8.36
"ABANDONO",25.95,56.79,0.00,14.21,0.00,3.03,0.00
"NO ABANDONO",43.26,0.00,41.92,0.00,14.80,0.00,0.00
"NO ABANDONO",24.12,0.00,44.87,2.53,28.46,0.00,0.00
"NO ABANDONO",13.77,1.64,0.00,0.00,35.68,47.63,1.27
"NO ABANDONO",33.98,0.00,16.36,0.00,49.64,0.00,0.00
"NO ABANDONO",22.67,0.00,28.75,6.03,42.53,0.00,0.00
"NO ABANDONO",28.06,0.00,34.11,0.00,37.82,0.00,0.00
"NO ABANDONO",31.21,0.00,15.33,0.00,49.39,0.00,0.00
"NO ABANDONO",56.14,0.00,0.00,0.00,43.85,0.00,0.00
"NO ABANDONO",15.66,2.97,0.00,0.00,31.58,49.77,0.00
"NO ABANDONO",6.43,2.24,0.00,4.92,30.94,55.44,0.00
"NO ABANDONO",8.84,1.39,0.00,6.52,25.06,58.17,0.00
"NO ABANDONO",52.46,0.00,0.00,0.00,38.06,2.30,0.00
"NO ABANDONO",34.94,0.00,0.00,0.00,34.68,0.00,1.22
"NO ABANDONO",57.41,0.00,12.01,0.00,30.56,0.00,0.00
"NO ABANDONO",34.94,0.00,0.00,0.00,34.68,0.00,1.22
